"","Richness","Shannon","Shannon_Effective_Number","Simpson","Simpson_Effective_Number","Year"
"1",43,2.34391514168967,10.4219602422578,0.84853934073829,6.60237453655933,1996
"2",43,2.27680925143421,9.74553519523175,0.826934033722044,5.77814356864326,1997
"3",41,2.20653386010868,9.08417474028163,0.820616979022345,5.57466361392455,1998
"4",42,2.03729500619766,7.66983425936861,0.785437420364367,4.66064493490984,1999
"5",44,2.10129940776189,8.1767879942518,0.801807179486404,5.04559144679713,2000
"6",40,2.03170782025557,7.62710095982757,0.779149957737542,4.52795928746801,2001
"7",40,2.08494774941887,8.04417115809898,0.797607134796941,4.94088563347679,2002
"8",41,2.1396829176365,8.49674303434111,0.817259704124557,5.4722468036366,2003
"9",43,2.23724395901777,9.36747852345771,0.835678941598585,6.08564726717578,2004
"10",40,2.21481990184653,9.15975930731244,0.831013271970543,5.91762448838992,2005
"11",41,2.16170261345162,8.6859138295659,0.818410423898673,5.5069240287339,2006
"12",41,2.17475633712144,8.80004061770175,0.82417987571108,5.68763106068979,2007
"13",41,2.21381566467681,9.15056535377798,0.828857369844461,5.84307953600558,2008
"14",43,2.17182391885055,8.77427301696629,0.82350147393602,5.6657696939492,2009
"15",46,2.37781892364935,10.7813622271189,0.867649400952884,7.55568926170111,2010
"16",46,2.36022391680745,10.5933232099991,0.86603089220781,7.46440740316923,2011
"17",46,2.38136858353304,10.8197003995891,0.870458176597594,7.71951462265295,2012
"18",45,2.35499098131719,10.5380338220824,0.864231750548382,7.36549233004848,2013
"19",45,2.41948918466031,11.2401162243901,0.87718122866481,8.14207786911381,2014
"20",43,2.35658783519203,10.554874965068,0.868973665543998,7.63205354215108,2015
"21",41,2.27681657006623,9.74560651947867,0.859584530136438,7.12172242112406,2016
"22",38,2.28637782570214,9.83923363788229,0.86304545350875,7.30169260984624,2017
